"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000185519.9","FAM131C","ENSG00000185519.9","family with sequence similarity 131 member C",15883,2795,13,"protein_coding","IPR026782"
"ENSG00000142627.13","EPHA2","ENSG00000142627.13","EPH receptor A2",31733,6054,27,"protein_coding","IPR000719"
"ENSG00000142632.17","ARHGEF19","ENSG00000142632.17","Rho guanine nucleotide exchange factor 19",14799,8198,43,"protein_coding","IPR000219"
"ENSG00000132881.12","CPLANE2","ENSG00000132881.12","ciliogenesis and planar polarity effector complex subunit 2",5492,1910,9,"protein_coding","IPR001806"
"ENSG00000037637.11","FBXO42","ENSG00000037637.11","F-box protein 42",105641,11245,20,"protein_coding","IPR001810"
"ENSG00000055070.17","SZRD1","ENSG00000055070.17","SUZ RNA binding domain containing 1",45571,15043,40,"protein_coding","IPR024642"
"ENSG00000187144.11","SPATA21","ENSG00000187144.11","spermatogenesis associated 21",50308,9807,55,"protein_coding","IPR043520"
"ENSG00000157191.20","NECAP2","ENSG00000157191.20","NECAP endocytosis associated 2",19358,16069,75,"protein_coding",""
"ENSG00000219481.11","NBPF1","ENSG00000219481.11","NBPF member 1",51244,18046,59,"protein_coding","IPR010630"
"ENSG00000058453.17","CROCC","ENSG00000058453.17","ciliary rootlet coiled-coil, rootletin",232692,22883,130,"protein_coding",""
"ENSG00000117122.14","MFAP2","ENSG00000117122.14","microfibril associated protein 2",6131,6268,38,"protein_coding","IPR003582"
"ENSG00000159363.19","ATP13A2","ENSG00000159363.19","ATPase cation transporting 13A2",25971,21618,159,"protein_coding","IPR001757"
"ENSG00000288636.1","ENSG00000288636","ENSG00000288636.1","novel  protein",6690,312,4,"protein_coding",""
"ENSG00000117118.12","SDHB","ENSG00000117118.12","succinate dehydrogenase complex iron sulfur subunit B",35488,17052,123,"protein_coding","IPR001041"
"ENSG00000117115.13","PADI2","ENSG00000117115.13","peptidyl arginine deiminase 2",52691,11969,38,"protein_coding","IPR004303"
"ENSG00000142623.11","PADI1","ENSG00000142623.11","peptidyl arginine deiminase 1",40880,9720,25,"protein_coding","IPR004303"
"ENSG00000142619.4","PADI3","ENSG00000142619.4","peptidyl arginine deiminase 3",35136,3189,16,"protein_coding","IPR004303"
"ENSG00000159339.13","PADI4","ENSG00000159339.13","peptidyl arginine deiminase 4",55810,4465,31,"protein_coding","IPR004303"
"ENSG00000276747.1","PADI6","ENSG00000276747.1","peptidyl arginine deiminase 6",29504,2396,16,"protein_coding","IPR004303"
"ENSG00000179051.14","RCC2","ENSG00000179051.14","regulator of chromosome condensation 2",32918,6853,27,"protein_coding","IPR000408"
"ENSG00000074964.17","ARHGEF10L","ENSG00000074964.17","Rho guanine nucleotide exchange factor 10 like",158177,23834,124,"protein_coding","IPR000219"
"ENSG00000117148.8","ACTL8","ENSG00000117148.8","actin like 8",71731,3511,5,"protein_coding","IPR004000"
"ENSG00000117154.12","IGSF21","ENSG00000117154.12","immunoglobin superfamily member 21",270686,5267,24,"protein_coding","IPR003599"
"ENSG00000179023.9","KLHDC7A","ENSG00000179023.9","kelch domain containing 7A",5045,5045,1,"protein_coding","IPR006652"
"ENSG00000009709.13","PAX7","ENSG00000009709.13","paired box 7",118021,24182,50,"protein_coding","IPR001356"
"ENSG00000179002.6","TAS1R2","ENSG00000179002.6","taste 1 receptor member 2",20062,2520,6,"protein_coding","IPR000068"
"ENSG00000159423.17","ALDH4A1","ENSG00000159423.17","aldehyde dehydrogenase 4 family member A1",31295,11489,70,"protein_coding","IPR005931"
"ENSG00000169991.11","IFFO2","ENSG00000169991.11","intermediate filament family orphan 2",52397,7716,20,"protein_coding","IPR039008"
"ENSG00000127481.15","UBR4","ENSG00000127481.15","ubiquitin protein ligase E3 component n-recognin 4",135757,48083,261,"protein_coding","IPR025704"
"ENSG00000127463.16","EMC1","ENSG00000127463.16","ER membrane protein complex subunit 1",35893,99479,354,"protein_coding","IPR002372"
"ENSG00000053372.5","MRTO4","ENSG00000053372.5","MRT4 homolog, ribosome maturation factor",8324,3036,14,"protein_coding","IPR001790"
"ENSG00000211454.16","AKR7L","ENSG00000211454.16","aldo-keto reductase family 7 like (gene/pseudogene)",8213,3842,14,"protein_coding",""
"ENSG00000162482.5","AKR7A3","ENSG00000162482.5","aldo-keto reductase family 7 member A3",6198,1215,7,"protein_coding","IPR023210"
"ENSG00000053371.13","AKR7A2","ENSG00000053371.13",NA,8180,4733,26,"protein_coding",NA
"ENSG00000040487.13","SLC66A1","ENSG00000040487.13","solute carrier family 66 member 1",16975,9312,46,"protein_coding","IPR006603"
"ENSG00000077549.19","CAPZB","ENSG00000077549.19","capping actin protein of muscle Z-line subunit beta",146765,41735,107,"protein_coding","IPR001698"
"ENSG00000173436.15","MICOS10","ENSG00000173436.15","mitochondrial contact site and cristae organizing system subunit 10",145419,12472,43,"protein_coding","IPR007512"
"ENSG00000158747.15","NBL1","ENSG00000158747.15","NBL1, DAN family BMP antagonist",61478,18211,55,"protein_coding","IPR004133"
"ENSG00000270136.6","MICOS10-NBL1","ENSG00000270136.6","MICOS10-NBL1 readthrough",59861,2409,24,"protein_coding",""
"ENSG00000158748.4","HTR6","ENSG00000158748.4","5-hydroxytryptamine receptor 6",16092,3800,3,"protein_coding","IPR000276"
"ENSG00000162542.14","TMCO4","ENSG00000162542.14","transmembrane and coiled-coil domains 4",117706,10748,64,"protein_coding","IPR007941"
"ENSG00000178828.7","RNF186","ENSG00000178828.7","ring finger protein 186",1255,1255,1,"protein_coding","IPR001841"
"ENSG00000169914.6","OTUD3","ENSG00000169914.6","OTU deubiquitinase 3",30551,7249,13,"protein_coding","IPR003323"
"ENSG00000188784.4","PLA2G2E","ENSG00000188784.4","phospholipase A2 group IIE",3609,785,4,"protein_coding","IPR001211"
"ENSG00000188257.12","PLA2G2A","ENSG00000188257.12","phospholipase A2 group IIA",4986,5379,26,"protein_coding","IPR001211"
"ENSG00000127472.11","PLA2G5","ENSG00000127472.11","phospholipase A2 group V",63733,9616,56,"protein_coding","IPR001211"
"ENSG00000117215.15","PLA2G2D","ENSG00000117215.15","phospholipase A2 group IID",7628,4507,7,"protein_coding","IPR001211"
"ENSG00000158786.5","PLA2G2F","ENSG00000158786.5","phospholipase A2 group IIF",11059,6850,7,"protein_coding","IPR001211"
"ENSG00000187980.7","PLA2G2C","ENSG00000187980.7","phospholipase A2 group IIC",25266,6201,16,"protein_coding","IPR001211"
"ENSG00000162543.6","UBXN10","ENSG00000162543.6","UBX domain protein 10",9955,5562,2,"protein_coding","IPR001012"
"ENSG00000158816.16","VWA5B1","ENSG00000158816.16","von Willebrand factor A domain containing 5B1",68644,25509,110,"protein_coding","IPR002035"
"ENSG00000162545.6","CAMK2N1","ENSG00000162545.6","calcium/calmodulin dependent protein kinase II inhibitor 1",3820,3138,4,"protein_coding","IPR026779"
"ENSG00000090432.7","MUL1","ENSG00000090432.7","mitochondrial E3 ubiquitin protein ligase 1",8704,2428,4,"protein_coding","IPR001841"
"ENSG00000183114.8","FAM43B","ENSG00000183114.8","family with sequence similarity 43 member B",2448,2448,1,"protein_coding","IPR006020"
"ENSG00000158825.6","CDA","ENSG00000158825.6","cytidine deaminase",29818,1571,7,"protein_coding","IPR002125"
"ENSG00000158828.8","PINK1","ENSG00000158828.8","PTEN induced kinase 1",18054,8136,17,"protein_coding","IPR000719"
"ENSG00000244038.11","DDOST","ENSG00000244038.11","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit",9778,5663,30,"protein_coding","IPR005013"
"ENSG00000117245.13","KIF17","ENSG00000117245.13","kinesin family member 17",54004,17751,76,"protein_coding","IPR001752"
"ENSG00000189410.12","SH2D5","ENSG00000189410.12","SH2 domain containing 5",13107,12809,46,"protein_coding","IPR000980"
"ENSG00000127483.19","HP1BP3","ENSG00000127483.19","heterochromatin protein 1 binding protein 3",47058,23579,84,"protein_coding","IPR005818"
"ENSG00000075151.24","EIF4G3","ENSG00000075151.24","eukaryotic translation initiation factor 4 gamma 3",370994,91109,518,"protein_coding","IPR003307"
"ENSG00000117298.16","ECE1","ENSG00000117298.16","endothelin converting enzyme 1",128326,28017,152,"protein_coding","IPR000718"
"ENSG00000142794.19","NBPF3","ENSG00000142794.19","NBPF member 3",44878,24268,127,"protein_coding","IPR010630"
"ENSG00000162551.14","ALPL","ENSG00000162551.14","alkaline phosphatase, biomineralization associated",69014,12132,58,"protein_coding","IPR001952"
"ENSG00000289715.1","ENSG00000289715","ENSG00000289715.1","novel protein",6599,144,2,"protein_coding",""
"ENSG00000076864.21","RAP1GAP","ENSG00000076864.21","RAP1 GTPase activating protein",73137,26518,208,"protein_coding","IPR000331"
"ENSG00000090686.16","USP48","ENSG00000090686.16","ubiquitin specific peptidase 48",105309,24917,143,"protein_coding","IPR000626"
"ENSG00000187942.12","LDLRAD2","ENSG00000187942.12","low density lipoprotein receptor class A domain containing 2",12961,6136,13,"protein_coding","IPR002172"
"ENSG00000142798.20","HSPG2","ENSG00000142798.20","heparan sulfate proteoglycan 2",115067,27520,170,"protein_coding","IPR000034"
"ENSG00000219073.8","CELA3B","ENSG00000219073.8","chymotrypsin like elastase 3B",21621,2759,22,"protein_coding","IPR001254"
"ENSG00000142789.20","CELA3A","ENSG00000142789.20","chymotrypsin like elastase 3A",10886,1912,16,"protein_coding","IPR001254"
"ENSG00000289694.1","ENSG00000289694","ENSG00000289694.1","novel protein",67802,4565,12,"protein_coding","IPR001806"
"ENSG00000070831.18","CDC42","ENSG00000070831.18","cell division cycle 42",48734,71836,144,"protein_coding","IPR001806"
"ENSG00000162552.15","WNT4","ENSG00000162552.15","Wnt family member 4",26657,5130,10,"protein_coding","IPR005817"
"ENSG00000184677.18","ZBTB40","ENSG00000184677.18","zinc finger and BTB domain containing 40",102320,29916,69,"protein_coding","IPR000210"
"ENSG00000070886.12","EPHA8","ENSG00000070886.12","EPH receptor A8",40107,6821,22,"protein_coding","IPR000719"
"ENSG00000173372.18","C1QA","ENSG00000173372.18","complement C1q A chain",4602,15665,34,"protein_coding","IPR001073"
"ENSG00000289692.1","ENSG00000289692","ENSG00000289692.1","novel protein",7562,1398,9,"protein_coding","IPR001073"
"ENSG00000159189.13","C1QC","ENSG00000159189.13","complement C1q C chain",5097,9741,22,"protein_coding","IPR001073"
"ENSG00000173369.18","C1QB","ENSG00000173369.18","complement C1q B chain",8876,14527,40,"protein_coding","IPR001073"
"ENSG00000133216.17","EPHB2","ENSG00000133216.17","EPH receptor B2",210662,32793,80,"protein_coding","IPR000719"
"ENSG00000215906.9","LACTBL1","ENSG00000215906.9","lactamase beta like 1",19824,1950,8,"protein_coding","IPR001466"
"ENSG00000227868.7","TEX46","ENSG00000227868.7","testis expressed 46",8267,1655,8,"protein_coding","IPR038788"
"ENSG00000004487.18","KDM1A","ENSG00000004487.18","lysine demethylase 1A",64247,115804,519,"protein_coding","IPR002937"
"ENSG00000169641.16","LUZP1","ENSG00000169641.16","leucine zipper protein 1",94123,52448,32,"protein_coding","IPR050719"
"ENSG00000293565.1","ENSG00000293565","ENSG00000293565.1","novel protein",51,51,1,"protein_coding",""
"ENSG00000179546.5","HTR1D","ENSG00000179546.5","5-hydroxytryptamine receptor 1D",25608,3319,2,"protein_coding","IPR000276"
"ENSG00000125944.22","HNRNPR","ENSG00000125944.22","heterogeneous nuclear ribonucleoprotein R",40566,45945,104,"protein_coding",""
"ENSG00000125945.16","ZNF436","ENSG00000125945.16","zinc finger protein 436",10389,11890,10,"protein_coding","IPR001909"
"ENSG00000204219.11","TCEA3","ENSG00000204219.11","transcription elongation factor A3",43840,6319,39,"protein_coding","IPR001222"
"ENSG00000088280.21","ASAP3","ENSG00000088280.21","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",56075,31321,209,"protein_coding","IPR002110"
"ENSG00000007968.7","E2F2","ENSG00000007968.7","E2F transcription factor 2",24796,5746,9,"protein_coding","IPR003316"
"ENSG00000117318.9","ID3","ENSG00000117318.9","inhibitor of DNA binding 3",1576,2465,7,"protein_coding","IPR011598"
"ENSG00000142676.14","RPL11","ENSG00000142676.14","ribosomal protein L11",5094,5518,32,"protein_coding","IPR002132"
"ENSG00000011007.13","ELOA","ENSG00000011007.13","elongin A",18612,15248,36,"protein_coding",""
"ENSG00000057757.10","PITHD1","ENSG00000057757.10","PITH domain containing 1",9815,3636,13,"protein_coding","IPR008979"
"ENSG00000011009.12","LYPLA2","ENSG00000011009.12","lysophospholipase 2",4430,9084,75,"protein_coding","IPR003140"
"ENSG00000117308.15","GALE","ENSG00000117308.15","UDP-galactose-4-epimerase",5183,16639,105,"protein_coding","IPR005886"
"ENSG00000117305.15","HMGCL","ENSG00000117305.15","3-hydroxy-3-methylglutaryl-CoA lyase",36736,11481,52,"protein_coding","IPR000138"
"ENSG00000179163.12","FUCA1","ENSG00000179163.12","alpha-L-fucosidase 1",23214,2043,8,"protein_coding","IPR000933"
"ENSG00000188822.8","CNR2","ENSG00000188822.8","cannabinoid receptor 2",42848,5265,2,"protein_coding","IPR000276"
"ENSG00000189266.13","PNRC2","ENSG00000189266.13","proline rich nuclear receptor coactivator 2",6624,6193,15,"protein_coding","IPR026780"
"ENSG00000188529.15","SRSF10","ENSG00000188529.15","serine and arginine rich splicing factor 10",16581,31023,76,"protein_coding","IPR000504"
"ENSG00000142661.19","MYOM3","ENSG00000142661.19","myomesin 3",56101,13965,63,"protein_coding","IPR003598"
"ENSG00000142677.4","IL22RA1","ENSG00000142677.4","interleukin 22 receptor subunit alpha 1",23370,2817,7,"protein_coding","IPR003961"
"ENSG00000185436.12","IFNLR1","ENSG00000185436.12","interferon lambda receptor 1",33792,9145,30,"protein_coding","IPR003961"
"ENSG00000158055.17","GRHL3","ENSG00000158055.17","grainyhead like transcription factor 3",164925,24739,159,"protein_coding","IPR007604"
"ENSG00000001460.18","STPG1","ENSG00000001460.18","sperm tail PG-rich repeat containing 1",59936,20214,62,"protein_coding","IPR010736"
"ENSG00000001461.17","NIPAL3","ENSG00000001461.17",NA,57175,18625,55,"protein_coding",NA
"ENSG00000117602.13","RCAN3","ENSG00000117602.13","RCAN family member 3",38690,19972,38,"protein_coding","IPR006931"
"ENSG00000184454.7","NCMAP","ENSG00000184454.7","non-compact myelin associated protein",53242,8043,8,"protein_coding","IPR038940"
"ENSG00000133226.19","SRRM1","ENSG00000133226.19","serine and arginine repetitive matrix 1",41566,40191,216,"protein_coding","IPR002483"
"ENSG00000169504.15","CLIC4","ENSG00000169504.15","chloride intracellular channel 4",98940,8087,21,"protein_coding",""
"ENSG00000020633.19","RUNX3","ENSG00000020633.19","RUNX family transcription factor 3",65611,13636,26,"protein_coding","IPR000040"
"ENSG00000117614.10","SYF2","ENSG00000117614.10","SYF2 pre-mRNA splicing factor",10227,5083,17,"protein_coding","IPR013260"
"ENSG00000117616.18","RSRP1","ENSG00000117616.18","arginine and serine rich protein 1",95965,23553,74,"protein_coding","IPR029656"
"ENSG00000187010.21","RHD","ENSG00000187010.21","Rh blood group D antigen",58053,18363,95,"protein_coding","IPR002229"
"ENSG00000183726.11","TMEM50A","ENSG00000183726.11","transmembrane protein 50A",24045,6419,32,"protein_coding","IPR007919"
"ENSG00000188672.19","RHCE","ENSG00000188672.19","Rh blood group CcEe antigens",67944,10942,73,"protein_coding","IPR002229"
"ENSG00000204178.11","MACO1","ENSG00000204178.11","macoilin 1",69352,10680,34,"protein_coding","IPR019130"
"ENSG00000157978.12","LDLRAP1","ENSG00000157978.12",NA,25281,10756,31,"protein_coding",NA
"ENSG00000117643.16","MAN1C1","ENSG00000117643.16","mannosidase alpha class 1C member 1",167660,14876,53,"protein_coding","IPR001382"
"ENSG00000162430.18","SELENON","ENSG00000162430.18","selenoprotein N",18029,12160,50,"protein_coding","IPR002048"
"ENSG00000255054.3","ENSG00000255054","ENSG00000255054.3","novel protein",12275,902,7,"protein_coding",""
"ENSG00000117640.18","MTFR1L","ENSG00000117640.18","mitochondrial fission regulator 1 like",14303,28044,129,"protein_coding","IPR007972"
"ENSG00000127423.11","AUNIP","ENSG00000127423.11","aurora kinase A and ninein interacting protein",27546,4014,9,"protein_coding","IPR029286"
"ENSG00000182749.6","PAQR7","ENSG00000182749.6","progestin and adipoQ receptor family member 7",14225,5708,5,"protein_coding","IPR004254"
"ENSG00000117632.23","STMN1","ENSG00000117632.23","stathmin 1",22811,11951,37,"protein_coding","IPR000956"
"ENSG00000158006.14","PAFAH2","ENSG00000158006.14","platelet activating factor acetylhydrolase 2",38351,8685,46,"protein_coding","IPR016715"
"ENSG00000158008.10","EXTL1","ENSG00000158008.10","exostosin like glycosyltransferase 1",16581,6185,24,"protein_coding","IPR004263"
"ENSG00000158014.15","SLC30A2","ENSG00000158014.15","solute carrier family 30 member 2",8867,7061,18,"protein_coding","IPR002524"
"ENSG00000158022.7","TRIM63","ENSG00000158022.7","tripartite motif containing 63",17136,3135,12,"protein_coding","IPR000315"
"ENSG00000175087.10","PDIK1L","ENSG00000175087.10","PDLIM1 interacting kinase 1 like",14391,13482,13,"protein_coding","IPR000719"
"ENSG00000197245.6","FAM110D","ENSG00000197245.6","family with sequence similarity 110 member D",4884,2799,2,"protein_coding","IPR025739"
"ENSG00000282872.2","C1orf232","ENSG00000282872.2","chromosome 1 open reading frame 230",4863,1551,7,"protein_coding",""
"ENSG00000236782.8","ZNF593OS","ENSG00000236782.8","ZNF593 opposite strand",2317,5686,17,"protein_coding",""
"ENSG00000142684.9","ZNF593","ENSG00000142684.9","zinc finger protein 593",966,1336,5,"protein_coding","IPR003604"
"ENSG00000142675.18","CNKSR1","ENSG00000142675.18","connector enhancer of kinase suppressor of Ras 1",12401,17255,153,"protein_coding",""
"ENSG00000188782.9","CATSPER4","ENSG00000188782.9","cation channel sperm associated 4",12408,5214,29,"protein_coding","IPR005821"
"ENSG00000130695.16","CEP85","ENSG00000130695.16","centrosomal protein 85",44609,17566,65,"protein_coding","IPR040210"
"ENSG00000142669.15","SH3BGRL3","ENSG00000142669.15","SH3 domain binding glutamate rich protein like 3",1437,1519,5,"protein_coding","IPR006993"
"ENSG00000158062.21","UBXN11","ENSG00000158062.21","UBX domain protein 11",37036,24944,179,"protein_coding","IPR001012"
